City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
574,Cayenne,GF,79.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
575,Auki,SB,81.28,scattered clouds,-8.7676,160.7034,Auki Motel
576,Dourbali,TD,78.57,overcast clouds,11.8091,15.8632,
580,Honiara,SB,82.35,overcast clouds,-9.4333,159.95,Heritage Park Hotel
591,Harper,LR,79.34,overcast clouds,4.375,-7.7169,Screensaver
598,Loiza,PR,75.2,scattered clouds,18.4313,-65.8802,Malibu Beachfront
599,Tevaitoa,PF,81.91,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
604,San Patricio,US,78.8,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
609,Martin,US,77.0,clear sky,27.0837,-80.4164,
614,Ternate,ID,84.06,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
616,Atar,MR,76.39,scattered clouds,20.5169,-13.0499,Oumou Elghoura
618,Pizarro,CO,76.48,light rain,4.9533,-77.366,Hotel Limonar
621,Neiafu,TO,82.4,moderate rain,-18.65,-173.9833,Mystic Sands
622,Dhidhdhoo,MV,84.31,few clouds,6.8833,73.1,Dhidhoo beach
625,Jackson,US,78.8,clear sky,42.4165,-122.8345,Agate Village Apartments
626,Yunyang,CN,82.44,clear sky,33.4474,112.7142,Post & Telecom Hotel
627,Hinatuan,PH,86.52,broken clouds,8.3722,126.3342,Villa Juanita Hinatuan
628,Gorontalo,ID,89.55,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
632,Leticia,CO,77.0,light rain,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
636,Port-Gentil,GA,81.0,overcast clouds,-0.7193,8.7815,Fengshui Residence
641,Arkadelphia,US,77.0,few clouds,34.1209,-93.0538,COLLEGE INN MOTEL
643,Kailua,US,77.0,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
644,Douentza,ML,87.4,broken clouds,14.9951,-2.9517,Ogomono Doumbo
649,Nanakuli,US,80.6,light rain,21.3906,-158.1547,Camp Pālehua
654,Nambour,AU,75.0,light rain,-26.6333,152.95,Nambour Lodge Motel
656,Banavar,IN,83.95,broken clouds,13.4136,76.1683,Shree Durga Lodge
657,Hervey Bay,AU,75.99,broken clouds,-25.2986,152.8535,Shelly Bay Resort
663,Mingguang,CN,80.55,light rain,32.7802,117.9638,Yonghao Hotel
671,Koumac,NC,77.86,clear sky,-20.5667,164.2833,Le Monitel
681,Santa Cruz Cabralia,BR,77.0,scattered clouds,-16.2781,-39.0247,Portobali Hotel
683,Gazli,UZ,86.63,clear sky,40.1333,63.45,
