City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
264,Zavitinsk,RU,50.1167,129.45,52.75,23,1,8.86,clear sky
265,Ajdabiya,LY,30.7554,20.2263,76.24,12,4,8.9,clear sky
266,San Quintin,MX,30.4833,-115.95,59.47,80,0,7.58,clear sky
267,Hami,CN,42.8,93.45,72.66,13,32,4.76,scattered clouds
268,Laibin,CN,23.7,109.2667,73.69,61,90,9.71,overcast clouds
269,Ambatondrazaka,MG,-17.8333,48.4167,65.32,92,80,5.03,broken clouds
270,Tayzhina,RU,53.6679,87.4362,48.96,70,62,6.46,broken clouds
271,Mukhen,RU,48.1,136.1,56.86,27,62,10.13,broken clouds
272,Livani,LV,56.3543,26.1758,31.69,89,63,4.27,broken clouds
273,Teahupoo,PF,-17.8333,-149.2667,84.0,74,75,3.44,broken clouds
274,Urumqi,CN,43.801,87.6005,75.2,19,0,2.24,clear sky
275,Tuatapere,NZ,-46.1333,167.6833,55.99,92,97,14.0,overcast clouds
276,Kruisfontein,ZA,-34.0033,24.7314,63.0,76,100,4.0,overcast clouds
277,Gornopravdinsk,RU,60.05,69.9,45.32,62,98,9.42,overcast clouds
278,Kavieng,PG,-2.5744,150.7967,84.61,67,93,11.34,light rain
279,Cabo San Lucas,MX,22.8909,-109.9124,69.01,60,40,9.22,scattered clouds
280,Nenjiang,CN,49.1833,125.2167,50.09,19,49,12.46,scattered clouds
281,Vallentuna,SE,59.5344,18.0776,34.0,93,0,3.44,clear sky
282,Port Lincoln,AU,-34.7333,135.8667,71.91,40,8,4.74,clear sky
283,Grindavik,IS,63.8424,-22.4338,39.2,93,75,8.05,broken clouds
284,Huarmey,PE,-10.0681,-78.1522,67.19,88,44,8.1,scattered clouds
285,Siyabuswa,ZA,-25.1132,29.0445,57.38,62,4,4.92,clear sky
286,Praia Da Vitoria,PT,38.7333,-27.0667,59.0,94,75,8.66,broken clouds
287,Kiruna,SE,67.8557,20.2251,26.6,63,90,8.05,overcast clouds
288,Mount Gambier,AU,-37.8333,140.7667,66.2,68,40,6.91,scattered clouds
289,Thiers,FR,45.8333,3.5,50.0,71,90,4.61,overcast clouds
290,Sinnamary,GF,5.3833,-52.95,76.44,90,100,8.32,overcast clouds
291,Dwarka,IN,22.2394,68.9678,83.59,65,98,8.59,overcast clouds
